Time,ETH / USD Denominated Closing Price
2015/8/8,1.19999
2015/8/9,1.19999
2015/8/10,1.19999
2015/8/11,0.99
2015/8/12,1.288
2015/8/13,1.8848
2015/8/14,1.795044162
2015/8/15,1.782222443
2015/8/16,1.533073776
2015/8/17,1.29638
2015/8/18,1.084186569
2015/8/19,1.24
2015/8/20,1.5218
2015/8/21,1.43588
2015/8/22,1.4
2015/8/23,1.35
2015/8/24,1.23804
2015/8/25,1.27119
2015/8/26,1.18
2015/8/27,1.13646
2015/8/28,1.295
2015/8/29,1.179
2015/8/30,1.32
2015/8/31,1.30651
2015/9/1,1.36
2015/9/2,1.308280871
2015/9/3,1.23357
2015/9/4,1.23357
2015/9/5,1.362871072
2015/9/6,1.34
2015/9/7,1.27561
2015/9/8,1.263493787
2015/9/9,1.21
2015/9/10,1.1857
2015/9/11,0.927715708
2015/9/12,1.14639
2015/9/13,0.88557
2015/9/14,0.955
2015/9/15,0.95
2015/9/16,0.93634
2015/9/17,0.875
2015/9/18,0.85226
2015/9/19,0.88368948
2015/9/20,0.94116
2015/9/21,0.94116
2015/9/22,0.80588
2015/9/23,0.91
2015/9/24,0.8
2015/9/25,0.68233
2015/9/26,0.77032
2015/9/27,0.700769905
2015/9/28,0.604208065
2015/9/29,0.68163
2015/9/30,0.713644314
2015/10/1,0.654722555
2015/10/2,0.66467
2015/10/3,0.6796
2015/10/4,0.60954
2015/10/5,0.60777
2015/10/6,0.65114
2015/10/7,0.6
2015/10/8,0.633798841
2015/10/9,0.635190847
2015/10/10,0.635190847
2015/10/11,0.59931
2015/10/12,0.63
2015/10/13,0.601639344
2015/10/14,0.483236302
2015/10/15,0.559861986
2015/10/16,0.525
2015/10/17,0.52299
2015/10/18,0.505
2015/10/19,0.499479725
2015/10/20,0.440034717
2015/10/21,0.42
2015/10/22,0.546183514
2015/10/23,0.56491
2015/10/24,0.55606
2015/10/25,0.624364858
2015/10/26,0.700519544
2015/10/27,0.83
2015/10/28,0.99
2015/10/29,1.179406721
2015/10/30,1.120673366
2015/10/31,0.889342572
2015/11/1,0.99
2015/11/2,0.9878
2015/11/3,1.047362653
2015/11/4,0.799
2015/11/5,0.87638
2015/11/6,0.959652835
2015/11/7,0.911850193
2015/11/8,1
2015/11/9,0.998
2015/11/10,0.90191467
2015/11/11,0.750047341
2015/11/12,0.88
2015/11/13,0.89998422
2015/11/14,0.88
2015/11/15,0.91
2015/11/16,0.914427236
2015/11/17,0.999284629
2015/11/18,0.996753607
2015/11/19,0.94
2015/11/20,0.92
2015/11/21,0.96
2015/11/22,0.97
2015/11/23,0.92
2015/11/24,0.910014782
2015/11/25,0.87
2015/11/26,0.858832719
2015/11/27,0.88
2015/11/28,0.907557786
2015/11/29,0.87
2015/11/30,0.88
2015/12/1,0.863293396
2015/12/2,0.82
2015/12/3,0.83
2015/12/4,0.84
2015/12/5,0.86993
2015/12/6,0.82499
2015/12/7,0.78994398
2015/12/8,0.79461
2015/12/9,0.80511
2015/12/10,0.84374
2015/12/11,0.899800105
2015/12/12,0.96
2015/12/13,0.91994
2015/12/14,0.99
2015/12/15,1
2015/12/16,0.8671
2015/12/17,0.94
2015/12/18,0.9
2015/12/19,0.893520944
2015/12/20,0.96
2015/12/21,0.91
2015/12/22,0.88
2015/12/23,0.87093
2015/12/24,0.87
2015/12/25,0.865924905
2015/12/26,0.853
2015/12/27,0.86893
2015/12/28,0.842445938
2015/12/29,0.86
2015/12/30,0.896515517
2015/12/31,0.94884
2016/1/1,0.92037
2016/1/2,0.94999
2016/1/3,0.957062928
2016/1/4,0.95
2016/1/5,0.9426
2016/1/6,0.95
2016/1/7,0.939947483
2016/1/8,0.985
2016/1/9,0.969910046
2016/1/10,1
2016/1/11,1.070906733
2016/1/12,1.17745
2016/1/13,1.13743
2016/1/14,1.165920696
2016/1/15,1.290891047
2016/1/16,1.21179
2016/1/17,1.310936879
2016/1/18,1.466244182
2016/1/19,1.353046598
2016/1/20,1.45662153
2016/1/21,1.49593
2016/1/22,1.52
2016/1/23,2.012250536
2016/1/24,2.101384785
2016/1/25,2.53372159
2016/1/26,2.380586704
2016/1/27,2.401309818
2016/1/28,2.546453319
2016/1/29,2.487635451
2016/1/30,2.44067
2016/1/31,2.24267178
2016/2/1,2.167397367
2016/2/2,2.44653
2016/2/3,2.53
2016/2/4,2.55007
2016/2/5,2.56451
2016/2/6,2.54902
2016/2/7,2.898071101
2016/2/8,3.183772193
2016/2/9,3.893476765
2016/2/10,4.377682845
2016/2/11,5.871940323
2016/2/12,5.470403844
2016/2/13,5.218790624
2016/2/14,5.155843983
2016/2/15,5.152687376
2016/2/16,4.262366795
2016/2/17,3.810980289
2016/2/18,4.366827736
2016/2/19,4.585640583
2016/2/20,4.350489201
2016/2/21,4.624428605
2016/2/22,5.593708536
2016/2/23,5.609936197
2016/2/24,6.234281009
2016/2/25,6.072274345
2016/2/26,5.875550437
2016/2/27,6.310733888
2016/2/28,6.498836068
2016/2/29,6.333253431
2016/3/1,7.5263757
2016/3/2,8.518787908
2016/3/3,9.284910244
2016/3/4,9.978698143
2016/3/5,10.75100628
2016/3/6,10.98440672
2016/3/7,9.476884016
2016/3/8,9.772849628
2016/3/9,11.81709865
2016/3/10,11.16565112
2016/3/11,11.1229054
2016/3/12,13.28365882
2016/3/13,14.34005449
2016/3/14,12.31138585
2016/3/15,13.04229902
2016/3/16,12.70282095
2016/3/17,11.05033061
2016/3/18,10.84613985
2016/3/19,10.50163306
2016/3/20,10.24057179
2016/3/21,11.83476552
2016/3/22,11.29600894
2016/3/23,12.40522757
2016/3/24,11.16782094
2016/3/25,10.65611213
2016/3/26,11.00213229
2016/3/27,10.38643971
2016/3/28,11.65682228
2016/3/29,11.68895052
2016/3/30,11.8662581
2016/3/31,11.380502
2016/4/1,11.63468257
2016/4/2,11.62532648
2016/4/3,11.60973994
2016/4/4,11.12544643
2016/4/5,10.43644489
2016/4/6,10.72407408
2016/4/7,10.09231544
2016/4/8,9.714492462
2016/4/9,9.108830379
2016/4/10,8.871822924
2016/4/11,8.695256715
2016/4/12,7.494964174
